patient_id,umap_x,umap_y,tsne_x,tsne_y
MMRF_1231,6.0489507,4.7382383,-15.922422,22.355038
MMRF_1032,-3.1096122,3.4247763,26.496529,-7.1148553
MMRF_1327,1.4214845,-0.101067275,-8.252807,-9.110689
MMRF_1210,-1.078393,2.55709,13.933466,-14.988529
MMRF_1269,5.21782,4.0358076,-13.755497,14.916327
MMRF_1251,3.5808651,1.6976993,-24.032665,0.74616915
MMRF_1328,0.6676147,2.7172277,-3.0828586,4.389727
MMRF_1171,-0.56706715,2.9310167,11.020418,-11.744995
MMRF_1354,-0.71543485,3.6599288,13.978001,-4.297074
MMRF_1344,-0.9003609,1.1815804,2.7785645,0.025624488
MMRF_1403,1.8047484,1.1541756,-7.624704,-0.27856845
MMRF_1408,2.0023475,-1.869465,-6.2564197,-19.199026
MMRF_1338,6.987824,4.513236,-11.099709,28.037603
MMRF_1342,-2.44327,4.95461,32.825954,0.8268797
MMRF_1352,6.689956,4.899452,-15.350504,26.376179
MMRF_1380,2.240165,0.0942731,-14.299047,-15.317207
MMRF_1389,2.4850523,-1.9117101,-10.346427,-18.310043
MMRF_1388,0.052685287,1.0428933,1.7471629,-7.5357013
MMRF_1395,-2.4685998,2.723834,22.394684,-0.7728029
MMRF_1391,4.2176313,1.255691,-27.164955,-1.0824653
MMRF_1359,4.191456,1.223789,-27.541534,-0.34724164
MMRF_1267,4.8377295,1.0342923,-27.59514,-7.6935287
MMRF_1274,0.9872069,2.00093,-1.6102045,-1.442925
MMRF_1037,-1.1708157,2.517342,14.102947,-15.000175
MMRF_1033,-2.944792,4.0761085,30.006186,-5.98562
MMRF_1031,-0.49544877,3.2644541,10.9739895,-7.1908584
MMRF_1068,-0.22558975,5.0514345,24.002848,10.380943
MMRF_1078,2.250863,2.474136,-19.079306,3.0123465
MMRF_1086,2.456432,-1.1696321,-4.7151256,-14.409383
MMRF_1082,4.4560795,4.4221916,-25.41016,15.287577
MMRF_1092,-2.1798322,2.6564438,21.675352,-5.037632
MMRF_1325,5.2507334,5.1598706,-19.464344,20.027079
MMRF_1364,-2.0330367,1.713604,13.140989,0.063035406
MMRF_1383,2.2738502,-1.0621474,-6.6744604,-16.215405
MMRF_1377,1.9414864,-0.48774034,-8.222779,-12.745087
MMRF_1360,-1.2004248,4.0733914,18.87199,0.40827823
MMRF_1371,-1.0939893,1.9398689,11.906693,-1.6318012
MMRF_1089,-0.78944874,2.6425374,12.651013,-13.75557
MMRF_1365,6.7688446,4.474153,-12.799657,25.261448
MMRF_1356,1.6337597,2.5164683,-22.686468,-14.432515
MMRF_1270,1.5761791,-0.20852917,-7.5335116,-9.968894
MMRF_1323,0.64337236,2.5159538,-3.0646436,3.466487
MMRF_1180,1.996565,1.6627831,-12.788933,-0.24812049
MMRF_1188,2.5311139,-1.1519626,-4.0690985,-14.536524
MMRF_1300,1.6325698,2.68486,5.606288,8.745198
MMRF_1331,-1.3676447,4.224537,20.095518,0.461281
MMRF_1185,4.8887215,0.6637243,-19.7307,-12.28339
MMRF_1348,4.6135144,4.542594,-25.01621,16.113115
MMRF_1284,-2.3579712,4.9235587,33.981995,0.9675551
MMRF_1202,3.5161545,1.6639405,-22.418604,1.6357281
MMRF_1466,-0.8065038,4.2940564,18.400578,6.118908
MMRF_1446,5.663803,4.1296043,-11.342496,18.1857
MMRF_1447,2.0753508,-1.6398112,-4.223133,-18.825613
MMRF_1445,2.0600326,0.37941873,-14.126076,-12.785308
MMRF_1433,3.2099109,1.8904308,-20.624815,1.6048561
MMRF_1434,6.1106796,4.4445515,-8.479386,20.523352
MMRF_1436,-2.348732,4.821873,33.668983,-0.5127884
MMRF_1424,1.8697724,-1.2035913,-9.346117,-21.441296
MMRF_1425,-0.78869313,2.667855,12.010881,-14.257427
MMRF_1439,5.9340124,4.344274,-8.753468,20.510786
MMRF_1450,-0.36832738,1.1377369,3.3687005,-2.795564
MMRF_1451,2.0679445,0.4153187,-14.372927,-12.539359
MMRF_1454,1.0967562,0.488725,-8.4855795,-3.9056182
MMRF_1460,-3.2374675,3.3668857,26.606749,-7.619977
MMRF_1461,2.5811918,1.7749536,-14.884784,1.5172583
MMRF_1324,4.6275125,1.1263164,-22.782673,-8.839282
MMRF_1392,-0.8279156,1.7613009,9.979415,-2.4916122
MMRF_1413,2.157501,-1.5100843,-2.7160058,-16.863058
MMRF_1393,-1.7418823,4.066042,30.639307,-12.111733
MMRF_1148,-1.0632024,1.1154344,6.2268915,-0.12855259
MMRF_1349,3.5766823,1.1849616,-17.547733,-6.057382
MMRF_1432,3.726184,2.075678,-21.111416,-2.0207047
MMRF_1293,-2.5436146,2.6797578,22.978397,-3.0110965
MMRF_1216,3.0045893,1.8817918,-17.529125,-0.25962165
MMRF_1178,0.43285355,3.9658089,13.331683,11.734083
MMRF_1401,6.132266,5.3264055,-18.993694,27.052536
MMRF_1489,-2.2665858,2.1291206,16.270023,1.9573277
MMRF_1318,4.2117867,1.244004,-29.001476,2.5547388
MMRF_1361,3.8949537,1.982943,-21.048037,-3.6824727
MMRF_1021,3.521651,1.9097203,-20.751753,0.75706077
MMRF_1030,-0.6771472,4.975577,23.577913,7.4234514
MMRF_1485,-0.953212,1.6491164,16.323736,-10.246259
MMRF_1491,2.3180225,-1.4289745,-3.4212303,-17.6935
MMRF_1029,1.6100484,0.35209516,-3.4806051,-27.182762
MMRF_1502,0.1899047,4.5556035,16.126488,11.046634
MMRF_1358,-1.5297117,3.3755646,23.535896,-12.389752
MMRF_1108,-3.0599415,4.196718,28.737041,-3.7556162
MMRF_1164,6.332643,4.5323462,-13.127236,20.959362
MMRF_1250,-0.59816897,3.3612983,13.340508,-6.6219616
MMRF_1453,2.230726,-1.714312,-6.6922917,-18.098475
MMRF_1462,4.7106466,1.0900631,-28.420298,-6.0702453
MMRF_1501,-2.016779,2.884887,23.841003,4.398069
MMRF_1499,-1.4451511,4.376419,19.811235,0.14864893
MMRF_1497,4.981388,1.1531702,-28.31789,-5.3025074
MMRF_1484,5.1653657,5.0703583,-20.659554,18.409758
MMRF_1519,1.7501656,-1.3401527,-6.3191934,-20.748905
MMRF_1516,6.242685,4.697547,-15.018129,23.227255
MMRF_1511,-2.2410984,2.3467183,21.086515,-6.6493006
MMRF_1510,-1.0531528,0.7709177,7.01388,4.316469
MMRF_1506,1.6908909,-0.60382545,-5.790001,-12.211129
MMRF_1309,2.05842,-2.061411,2.2448337,-12.314564
MMRF_1045,-2.8575263,3.032701,24.633299,-8.387691
MMRF_1048,4.803102,1.4713372,-27.262644,-3.5788429
MMRF_1098,4.7406797,1.1175408,-30.27184,-5.3325386
MMRF_1167,1.8931708,-1.731244,-5.351165,-20.621372
MMRF_1286,4.348978,4.424598,-22.77848,14.780239
MMRF_1538,-2.1421793,2.212526,20.601091,-5.1743197
