patient_id,umap_x,umap_y,tsne_x,tsne_y
MMRF_1231,13.105197,5.53593,-27.568151,-0.29134998
MMRF_1032,0.5820153,5.1357703,34.746433,4.850268
MMRF_1327,11.349411,2.4940739,-13.197167,15.583021
MMRF_1210,1.131549,5.98644,36.997803,2.1276596
MMRF_1269,12.223701,6.6095796,-25.759745,-11.70277
MMRF_1251,11.0539665,4.4258547,-12.457832,7.575189
MMRF_1328,10.768155,6.458082,-12.529908,-13.0651865
MMRF_1171,0.09380349,6.920971,38.163795,-7.1546335
MMRF_1354,3.25952,4.9740252,14.83312,-5.037281
MMRF_1344,3.1765337,3.8716695,15.026811,7.365836
MMRF_1403,9.998996,2.8673282,-6.0636396,9.8316555
MMRF_1408,9.71129,4.457249,-6.833427,-2.173193
MMRF_1338,12.975392,5.27134,-24.34319,0.20334838
MMRF_1342,0.41382125,6.797782,35.23619,-8.51409
MMRF_1352,13.395975,4.60176,-27.882366,5.9116526
MMRF_1380,10.469366,2.5355868,-7.9218316,12.305927
MMRF_1389,9.9873705,4.2412343,-7.656369,1.5437746
MMRF_1388,10.9431095,2.1317463,-12.620303,18.44395
MMRF_1395,1.06404,4.828152,27.888695,2.6409764
MMRF_1391,9.655953,4.2760286,-4.8451166,-1.356213
MMRF_1359,9.862343,4.497919,-7.9436135,-0.24664542
MMRF_1267,11.288269,5.0688276,-16.106537,-1.7275585
MMRF_1274,1.5823503,5.9736977,39.505997,4.209137
MMRF_1037,0.91710436,5.7308607,36.111843,3.9633372
MMRF_1033,0.15906668,6.4002867,35.26629,-4.509763
MMRF_1031,3.7232091,4.3257422,9.810231,1.2815044
MMRF_1068,2.534741,4.9400735,19.04677,-3.588263
MMRF_1078,3.3362472,4.4974275,12.571852,-3.9791584
MMRF_1086,11.337765,2.5322292,-13.008549,13.066002
MMRF_1082,9.772219,5.0450425,-9.201487,-4.3044753
MMRF_1092,1.0690907,4.725389,28.817854,3.0854573
MMRF_1325,11.409096,7.3311157,-18.389029,-13.051709
MMRF_1364,2.4275253,3.4817798,19.009914,6.975324
MMRF_1383,10.089912,2.401998,-4.6469917,13.698706
MMRF_1377,11.154763,2.3544364,-12.0573,15.694272
MMRF_1360,2.3116686,5.3883643,23.616951,-5.1843176
MMRF_1371,3.3987417,5.132244,18.837889,-6.7622905
MMRF_1089,1.6238707,6.0487046,37.90619,0.36624205
MMRF_1365,13.136251,4.2656264,-25.778482,6.9766407
MMRF_1356,11.984722,6.3139787,-27.653498,-13.652085
MMRF_1270,10.421341,2.9088905,-8.203951,11.747415
MMRF_1323,9.905695,2.3433404,-2.4863448,16.192774
MMRF_1180,11.392927,6.4239244,-18.01965,-9.646752
MMRF_1188,10.710897,2.0206158,-8.748632,16.88414
MMRF_1300,1.7124361,6.460523,6.469592,0.4357132
MMRF_1331,2.2920198,5.3766775,21.91001,-4.890351
MMRF_1185,12.537741,5.4504848,-22.800673,-1.1911627
MMRF_1348,10.131826,5.0118275,-11.690309,-4.6840343
MMRF_1284,0.62056285,6.6488156,31.896059,-8.648711
MMRF_1202,11.972763,6.2549415,-25.96927,-13.1975
MMRF_1466,2.4921882,5.2467065,17.894459,0.14163762
MMRF_1446,12.51091,5.1533895,-21.916374,1.0250098
MMRF_1447,10.165946,2.3558905,-5.302599,15.543301
