patient_id,umap_x,umap_y,tsne_x,tsne_y
MMRF_1231,10.420708,5.5163894,-30.433535,14.09352
MMRF_1032,3.2210524,2.8937037,19.426418,3.2880604
MMRF_1327,10.250693,2.9816523,-16.94882,12.995154
MMRF_1210,4.1585407,2.6646967,24.913605,-8.857077
MMRF_1269,7.659903,4.7470965,-3.3237674,-2.350119
MMRF_1251,8.781874,1.7037041,-11.248163,2.199125
MMRF_1328,7.2239146,2.748835,-5.425851,-6.80328
MMRF_1171,2.3525949,4.797696,22.108868,9.611477
MMRF_1354,5.0355015,6.3374243,11.074893,6.919252
MMRF_1344,4.277342,2.8370585,16.434475,-7.379823
MMRF_1403,8.68399,2.1566646,-9.111036,0.18085746
MMRF_1408,9.597325,1.7401611,-7.0112658,9.713586
MMRF_1338,10.784866,5.3087893,-30.94596,18.050127
MMRF_1342,1.0426338,2.7607641,32.38025,1.188333
MMRF_1352,10.682417,5.121617,-29.753466,16.676525
MMRF_1380,10.3229,2.9919047,-16.664776,15.046318
MMRF_1389,8.573111,1.3206598,-23.733162,-10.238278
MMRF_1388,6.3386326,2.5364797,-3.4597201,-11.787964
MMRF_1395,2.7778482,2.5248582,23.701393,-3.2534623
MMRF_1391,7.5897684,0.356198,-20.659407,-17.532087
MMRF_1359,7.4338856,0.78816676,-15.500867,-14.648702
MMRF_1267,7.062071,0.7125198,-17.093416,-12.367114
MMRF_1274,3.828775,4.3397255,8.2616,-15.444662
MMRF_1037,3.4920402,2.4415917,24.194382,-7.79247
MMRF_1033,2.3599348,4.921048,23.802797,10.522691
MMRF_1031,5.233349,3.427916,6.326776,-10.255116
MMRF_1068,4.965582,5.4650154,9.756069,-0.78567404
MMRF_1078,4.977656,4.398558,9.237991,-4.943867
MMRF_1086,10.525108,1.2711061,-7.4738398,13.123279
MMRF_1082,7.8756714,4.7763276,-2.2604947,-0.5844657
MMRF_1092,2.1514819,3.1089883,27.584057,-1.3847904
MMRF_1325,9.005305,5.619695,-34.8684,7.7758884
MMRF_1364,2.9362035,2.6516552,19.18058,-5.837464
MMRF_1383,10.468846,1.218662,-8.567424,14.935925
MMRF_1377,10.442366,2.4101868,-14.440633,14.537276
MMRF_1360,1.9558556,3.3130744,28.521536,-2.7916424
MMRF_1371,4.7663684,3.270628,7.462482,-9.392467
MMRF_1089,4.2611713,2.6286714,26.10054,-8.78008
MMRF_1365,10.628371,5.0416656,-29.009512,17.416529
MMRF_1356,6.5581355,2.318361,-4.6255774,-9.683218
MMRF_1270,9.552513,1.9383738,-9.264385,8.739896
MMRF_1323,7.083264,2.8037906,-7.420124,-7.2431417
MMRF_1180,6.8182797,3.957604,-2.1494396,-5.258451
MMRF_1188,10.571509,1.2806244,-8.857543,13.1617565
MMRF_1300,5.767183,4.8483696,4.8374057,-2.423915
MMRF_1331,1.2533764,3.8226845,34.697628,-4.0581117
MMRF_1185,9.125823,6.1157103,-28.917011,-0.6602821
MMRF_1348,9.415288,4.546776,-24.300533,4.7786913
MMRF_1284,0.7381892,3.2731612,36.376427,2.6024096
MMRF_1202,7.099736,1.808925,-10.594724,-10.611411
MMRF_1466,5.4476085,6.108005,8.357927,6.302088
MMRF_1446,10.205499,5.6000533,-29.646921,11.64673
MMRF_1447,9.852681,1.6186507,-9.805152,9.748658
MMRF_1445,9.237184,1.8300966,-9.84481,4.465314
MMRF_1433,6.9399962,1.978106,-9.727873,-10.200089
MMRF_1434,10.646754,5.214917,-29.185392,18.510136
MMRF_1436,1.1150521,3.3951283,30.974941,3.3167758
MMRF_1424,10.262806,2.2081277,-15.367315,9.360176
MMRF_1425,2.2782078,2.8213785,26.326588,-3.6112669
MMRF_1439,9.079545,5.6426835,-36.77178,11.001068
MMRF_1450,3.787419,4.504274,8.996565,-15.818989
MMRF_1451,6.1509547,2.7906063,-3.5217645,-13.956611
MMRF_1454,8.978328,1.7580619,-10.98728,2.4567306
MMRF_1460,3.9378176,4.422774,10.839414,-12.554396
MMRF_1461,6.258765,4.3359027,0.35420206,-3.537413
MMRF_1324,6.658941,0.94130933,-19.076948,-10.824606
MMRF_1392,3.3801122,3.888475,15.785855,-15.351207
MMRF_1413,9.911576,1.9634073,-8.272901,10.329246
MMRF_1393,1.6831042,4.1822543,30.252172,8.725202
MMRF_1148,4.0651174,3.3827822,15.987897,-9.924212
MMRF_1349,6.324527,1.6112025,-18.265331,-5.61483
MMRF_1432,8.365171,1.8742963,-12.031316,-0.18175216
MMRF_1293,5.518168,6.097902,11.729574,4.1179233
MMRF_1216,6.665217,2.4765413,-4.839474,-14.614334
MMRF_1178,6.341653,1.6929404,-0.35004184,-7.153831
MMRF_1401,9.541445,4.7943516,-25.359097,7.9524236
MMRF_1489,4.921079,6.419897,12.623039,7.587915
MMRF_1318,7.5136604,0.59528434,-17.128107,-16.352365
MMRF_1361,7.2249727,2.1818535,-9.507328,-13.008476
MMRF_1021,7.2405396,1.9591087,-11.225441,-11.051403
MMRF_1030,4.735912,6.231389,11.949167,10.588
MMRF_1485,5.6767793,3.441156,2.356977,-9.285561
MMRF_1491,10.198228,1.1518412,-9.625982,15.442655
MMRF_1029,3.1058073,2.3338137,17.936855,-4.0482016
MMRF_1502,4.598907,3.9567962,12.843896,-7.445116
MMRF_1358,1.807787,3.1043377,29.591955,2.6838205
MMRF_1108,1.8289752,4.2295384,29.613533,8.392665
MMRF_1164,10.454901,5.7533197,-26.333965,12.034048
MMRF_1250,2.992288,3.622548,21.517698,-15.522885
MMRF_1453,9.456049,0.965973,-14.759091,4.1285143
MMRF_1462,6.925914,0.7960283,-16.722006,-11.922112
MMRF_1501,10.542924,1.231478,-6.2909355,13.38607
MMRF_1499,1.3849245,3.585775,33.14041,-2.4853961
MMRF_1497,7.371354,0.36038738,-19.342472,-13.934418
MMRF_1484,9.164898,5.7922196,-32.877853,8.887555
MMRF_1519,9.369656,1.7506546,-9.743672,6.322546
MMRF_1516,9.739669,5.6989527,-31.539518,10.691271
MMRF_1511,4.7821035,4.5930557,13.615781,-0.73673445
MMRF_1510,5.6134915,5.6217246,6.292636,0.8607781
MMRF_1506,9.718195,1.9345688,-7.4749856,8.760047
MMRF_1309,3.3845112,4.906799,7.7378488,-18.262508
MMRF_1045,3.2768178,2.5404654,20.534388,-4.4418674
MMRF_1048,7.6156673,0.46207502,-18.954273,-16.611723
MMRF_1098,10.453383,5.6700025,-27.381277,11.366119
MMRF_1167,9.451412,1.5543473,-10.100745,6.0109987
MMRF_1286,9.044988,4.6706767,-26.38104,4.184222
MMRF_1538,2.7909038,2.5072327,22.369705,-1.9703283
