patient_id,umap_x,umap_y,tsne_x,tsne_y
MMRF_1231,5.8815756,7.426028,20.266607,17.53078
MMRF_1032,-0.045234784,6.428001,-15.653949,15.231533
MMRF_1327,4.3094225,3.3567579,8.417997,-11.254067
MMRF_1210,-0.43807435,3.3618398,-28.788706,-3.917833
MMRF_1269,4.869298,6.542327,17.680792,10.4847975
MMRF_1251,6.111085,4.5387444,16.33565,-2.363353
MMRF_1328,5.2424884,3.8811786,17.347437,-9.897379
MMRF_1171,0.890862,6.347589,-10.877605,12.744127
MMRF_1354,0.49841067,2.2327454,-21.015234,-9.182267
MMRF_1344,2.605514,3.2641246,-4.38436,-10.661619
MMRF_1403,2.5453982,1.8805708,-10.38048,-19.028904
MMRF_1408,6.262618,2.5086346,20.413843,-17.046118
MMRF_1338,5.209419,6.990608,16.162062,14.467077
MMRF_1342,0.18012789,5.6583705,-12.80283,10.677436
MMRF_1352,5.999615,6.7279387,23.732471,17.863686
MMRF_1380,5.3288074,2.8974607,15.103352,-13.882601
MMRF_1389,5.381357,4.908318,5.370545,9.828881
MMRF_1388,3.5889525,4.3713374,2.2626374,-4.4921327
MMRF_1395,-0.40807396,4.3033633,-25.46518,2.5053763
MMRF_1391,6.1873493,3.1478615,21.272861,-11.689874
MMRF_1359,5.4636335,4.6682744,23.740839,-4.9794493
MMRF_1267,5.355804,5.699269,18.894567,4.6618147
MMRF_1274,2.9880958,4.826918,-3.2031028,-6.93537
MMRF_1037,-0.34748787,3.2186468,-28.825996,-3.9556012
MMRF_1033,0.6177629,6.3891387,-15.162326,19.886885
MMRF_1031,1.7298027,2.118389,-12.215506,-8.288782
MMRF_1068,-0.41370207,3.6759605,-30.140617,-0.9604733
MMRF_1078,0.92796504,1.8117721,-19.83035,-16.43483
MMRF_1086,5.890097,2.9707098,17.518606,-13.20711
MMRF_1082,4.0752487,6.5586395,7.557377,13.61271
MMRF_1092,0.6401413,5.288873,-23.400343,11.220953
MMRF_1325,5.492864,6.9867215,17.273552,16.128128
MMRF_1364,0.4604064,3.9176097,-24.039293,5.1327333
MMRF_1383,6.6403093,2.4112399,24.612072,-15.715381
MMRF_1377,4.948849,2.7143924,12.964694,-13.405363
MMRF_1360,1.123659,4.483935,-14.114682,2.6047492
MMRF_1371,1.6421669,2.8084705,-10.382245,-5.508362
MMRF_1089,-0.30810598,3.3592582,-27.335957,-3.1555283
MMRF_1365,5.818651,6.8998938,22.40485,14.841604
MMRF_1356,3.3993742,4.3589544,0.48275492,-3.6307378
