patient_id,umap_hdbscan_label,tsne_kmeans_label
MMRF_1231,2,3
MMRF_1032,0,1
MMRF_1327,2,2
MMRF_1210,0,0
MMRF_1269,2,3
MMRF_1251,2,2
MMRF_1328,2,4
MMRF_1171,2,2
MMRF_1354,0,4
MMRF_1344,0,4
MMRF_1403,0,4
MMRF_1408,2,2
MMRF_1338,1,3
MMRF_1342,0,0
MMRF_1352,1,1
MMRF_1380,2,2
MMRF_1389,2,2
MMRF_1388,0,4
MMRF_1395,0,1
MMRF_1391,2,1
MMRF_1359,2,3
MMRF_1267,2,3
MMRF_1274,0,4
MMRF_1037,0,1
MMRF_1033,0,0
MMRF_1031,0,4
MMRF_1068,0,4
MMRF_1078,0,2
MMRF_1086,2,2
MMRF_1082,2,3
MMRF_1092,0,1
MMRF_1325,2,3
MMRF_1364,0,1
MMRF_1383,-1,2
MMRF_1377,2,2
MMRF_1360,0,0
MMRF_1371,0,4
MMRF_1089,0,1
MMRF_1365,1,1
MMRF_1356,2,3
MMRF_1270,2,2
MMRF_1323,2,4
MMRF_1180,2,3
MMRF_1188,2,2
MMRF_1300,0,4
MMRF_1331,0,0
MMRF_1185,2,3
MMRF_1348,2,2
MMRF_1284,0,0
MMRF_1202,2,3
MMRF_1466,0,0
MMRF_1446,-1,2
MMRF_1447,2,2
MMRF_1445,0,2
MMRF_1433,2,3
MMRF_1434,1,1
MMRF_1436,0,0
MMRF_1424,2,2
MMRF_1425,0,0
MMRF_1439,2,4
MMRF_1450,0,4
MMRF_1451,0,4
MMRF_1454,2,2
MMRF_1460,0,0
MMRF_1461,2,3
MMRF_1324,1,1
MMRF_1392,0,0
MMRF_1413,2,2
MMRF_1393,0,0
MMRF_1148,0,4
MMRF_1349,1,1
MMRF_1432,2,2
MMRF_1293,0,1
MMRF_1216,2,2
MMRF_1178,2,4
MMRF_1401,2,3
MMRF_1489,0,0
MMRF_1318,0,4
MMRF_1361,2,4
MMRF_1021,2,3
MMRF_1030,0,0
MMRF_1485,0,4
MMRF_1491,2,2
MMRF_1029,0,0
MMRF_1502,0,4
MMRF_1358,0,1
MMRF_1108,0,0
MMRF_1164,2,3
MMRF_1250,0,4
MMRF_1453,2,2
MMRF_1462,2,3
MMRF_1501,0,2
MMRF_1499,0,0
MMRF_1497,2,2
MMRF_1484,2,3
MMRF_1519,2,2
MMRF_1516,2,3
MMRF_1511,0,1
MMRF_1510,0,4
MMRF_1506,2,2
MMRF_1309,-1,4
MMRF_1045,0,1
MMRF_1048,2,3
MMRF_1098,2,2
MMRF_1167,-1,2
MMRF_1286,-1,4
MMRF_1538,0,1
MMRF_1556,2,3
MMRF_1522,0,1
MMRF_1531,0,4
MMRF_1534,2,3
MMRF_1539,2,3
MMRF_1540,1,1
MMRF_1542,2,3
MMRF_1550,0,4
MMRF_1560,0,4
MMRF_1570,0,1
MMRF_1573,0,4
MMRF_1572,2,2
MMRF_1574,0,0
MMRF_1577,0,1
MMRF_1579,0,4
MMRF_1580,2,3
MMRF_1583,2,1
MMRF_1586,1,1
MMRF_1587,2,2
MMRF_1589,1,1
MMRF_1595,-1,2
MMRF_1593,2,2
MMRF_1596,2,0
MMRF_1603,0,0
MMRF_1605,2,1
MMRF_1543,2,2
MMRF_1598,2,3
MMRF_1597,0,0
MMRF_1613,2,4
MMRF_1614,0,0
MMRF_1617,2,3
MMRF_1618,2,2
MMRF_1621,0,1
MMRF_1625,1,1
MMRF_1634,2,3
MMRF_1512,0,0
MMRF_1624,0,4
MMRF_1627,2,3
MMRF_1630,-1,4
MMRF_1633,0,0
MMRF_1637,-1,4
MMRF_1639,0,4
MMRF_1640,2,2
MMRF_1641,0,0
MMRF_1643,0,0
MMRF_1644,0,3
MMRF_1651,0,4
MMRF_1652,0,4
MMRF_1665,0,0
MMRF_1656,0,4
MMRF_1664,2,2
MMRF_1668,2,2
MMRF_1671,2,3
MMRF_1695,0,4
MMRF_1683,2,2
MMRF_1714,0,1
MMRF_1730,0,0
MMRF_1758,2,2
MMRF_1721,2,3
MMRF_1648,2,2
MMRF_1677,2,3
MMRF_1744,0,0
MMRF_1735,0,0
MMRF_1739,0,1
MMRF_1694,2,2
MMRF_1713,0,0
MMRF_1722,2,3
MMRF_1659,0,0
MMRF_1689,-1,0
MMRF_1645,2,3
MMRF_1720,0,1
MMRF_1715,-1,2
MMRF_1726,0,4
MMRF_1523,0,2
MMRF_1670,0,3
MMRF_1672,0,0
MMRF_1719,0,0
MMRF_1733,0,0
MMRF_1736,0,1
MMRF_1750,2,3
MMRF_1768,2,2
MMRF_1771,-1,4
MMRF_1773,0,3
MMRF_1775,0,0
MMRF_1777,0,4
MMRF_1778,2,3
MMRF_1782,2,3
MMRF_1785,0,4
MMRF_1787,2,3
MMRF_1792,0,0
MMRF_1793,0,0
MMRF_1797,1,1
MMRF_1795,2,2
MMRF_1796,0,4
MMRF_1802,0,0
MMRF_1808,0,0
MMRF_1810,0,2
MMRF_1815,2,4
MMRF_1822,2,3
MMRF_1823,2,2
MMRF_1825,-1,4
MMRF_1830,1,1
MMRF_1831,0,0
MMRF_1423,0,4
MMRF_1700,0,0
MMRF_1786,0,1
MMRF_1801,2,3
MMRF_1832,2,1
MMRF_1835,2,3
MMRF_1783,2,3
MMRF_1766,0,0
MMRF_1817,2,3
MMRF_1837,2,2
MMRF_1845,2,4
MMRF_1854,0,4
MMRF_1855,2,2
MMRF_1860,2,3
MMRF_1867,0,4
MMRF_1876,0,4
MMRF_1565,1,3
MMRF_1710,2,3
MMRF_1759,0,1
MMRF_1842,2,2
MMRF_1846,0,1
MMRF_1847,2,2
MMRF_1856,1,1
MMRF_1654,-1,4
MMRF_1678,0,1
MMRF_1682,0,4
MMRF_1705,2,3
MMRF_1716,0,1
MMRF_1859,0,0
MMRF_1865,2,1
MMRF_1871,0,1
MMRF_1879,2,1
MMRF_1881,0,1
MMRF_1886,2,3
MMRF_1890,2,2
MMRF_1893,0,4
MMRF_1900,0,0
MMRF_1882,0,1
MMRF_1541,0,3
MMRF_1588,0,4
MMRF_1686,0,1
MMRF_1690,2,2
MMRF_1698,0,0
MMRF_1780,2,3
MMRF_1833,2,2
MMRF_1839,0,0
MMRF_1850,0,0
MMRF_1895,0,0
MMRF_1906,2,3
MMRF_1537,-1,2
MMRF_1917,2,2
MMRF_1921,0,1
MMRF_1922,2,2
MMRF_1927,2,1
MMRF_1963,2,2
MMRF_1967,2,0
MMRF_1965,-1,1
MMRF_1981,2,2
MMRF_1992,0,0
MMRF_1998,2,3
MMRF_2000,2,3
MMRF_1880,0,1
MMRF_2005,-1,3
MMRF_1851,-1,3
MMRF_1891,-1,4
MMRF_1911,2,2
MMRF_1932,0,2
MMRF_1985,0,1
MMRF_1928,1,1
MMRF_1915,2,2
MMRF_1972,0,0
MMRF_1977,0,0
MMRF_1824,0,3
MMRF_1862,2,3
MMRF_1790,1,1
MMRF_1727,0,4
MMRF_1738,0,4
MMRF_1861,0,0
MMRF_1814,0,0
MMRF_1888,0,1
MMRF_1918,2,3
MMRF_1982,0,4
MMRF_1991,0,1
MMRF_2001,0,4
MMRF_2006,0,4
MMRF_2015,2,2
MMRF_2012,0,0
MMRF_1908,2,2
MMRF_1916,0,4
MMRF_1931,0,4
MMRF_1971,2,2
MMRF_1978,0,4
MMRF_2018,0,0
MMRF_2038,0,1
MMRF_2035,0,4
MMRF_2041,2,2
MMRF_2054,0,0
MMRF_2057,0,1
MMRF_2056,2,3
MMRF_2062,0,4
MMRF_2072,-1,2
MMRF_2081,2,2
MMRF_2093,2,3
MMRF_2002,2,2
MMRF_2047,0,1
MMRF_2061,0,4
MMRF_2074,0,4
MMRF_1169,2,2
MMRF_1997,0,0
MMRF_2043,0,0
MMRF_2083,1,1
MMRF_2091,2,2
MMRF_2098,0,1
MMRF_2115,-1,0
MMRF_2116,0,1
MMRF_2118,2,2
MMRF_2126,0,0
MMRF_2150,0,4
MMRF_2026,0,2
MMRF_2055,0,4
MMRF_2059,0,2
MMRF_2080,0,4
MMRF_2079,0,1
MMRF_2076,0,1
MMRF_2082,0,1
MMRF_2087,0,4
MMRF_2106,2,4
MMRF_2107,2,2
MMRF_2111,0,4
MMRF_2122,2,2
MMRF_2119,0,4
MMRF_2125,-1,3
MMRF_2141,0,0
MMRF_2151,0,4
MMRF_2153,2,3
MMRF_1073,0,0
MMRF_2113,2,2
MMRF_2143,0,3
MMRF_2149,0,0
MMRF_2097,-1,1
MMRF_2140,-1,3
MMRF_1755,0,0
MMRF_2216,0,0
MMRF_2180,0,0
MMRF_2213,0,1
MMRF_2017,1,1
MMRF_2016,0,0
MMRF_2013,2,2
MMRF_2039,0,4
MMRF_2050,0,1
MMRF_2068,0,4
MMRF_2089,2,2
MMRF_2102,1,1
MMRF_2170,2,2
MMRF_2172,2,3
MMRF_2173,2,3
MMRF_2176,2,3
MMRF_2174,0,1
MMRF_2201,1,3
MMRF_2203,2,2
MMRF_2214,0,0
MMRF_2195,2,2
MMRF_2194,-1,2
MMRF_2197,0,0
MMRF_2200,-1,4
MMRF_2199,0,1
MMRF_2204,0,1
MMRF_2183,0,1
MMRF_2187,0,0
MMRF_2211,2,2
MMRF_2217,0,1
MMRF_2220,2,2
MMRF_2230,2,3
MMRF_2231,2,3
MMRF_2232,0,4
MMRF_2250,2,2
MMRF_2253,0,4
MMRF_2266,0,4
MMRF_2168,0,1
MMRF_2228,2,2
MMRF_2240,2,3
MMRF_2251,0,3
MMRF_2258,0,0
MMRF_2267,0,4
